DE genes that are commonly expressed during both chondrogenesis and neurogenesis ,,,
Commonly upregulated,,,Commonly downregulated
Nmnat2,,,Dll1
Lgals3,,,Pimreg
Pdk1,,,Hgf
Plekhb1,,,Mcm4
Kdm7a,,,Cdc6
Itih3,,,Peg12
Plekhb2,,,Prim1
Ngef,,,Ube2c
Kcnq3,,,Bard1
 March4,,,Knstrn
Bcar3,,,Asf1b
Mxi1,,,Cdc25c
Wwox,,,Mad2l1
Sdc3,,,Rfc5
Morn1,,,Hnrnpa2b1
Creg2,,,Cenpn
Ret,,,Aunip
Slc16a1,,,Mex3a
Ttc39b,,,Lrr1
Nt5e,,,H2afx
Slc22a4,,,Mxd3
Map6,,,Tk1
Usp53,,,Crabp1
Spsb1,,,Cpxm1
Cd200,,,Cdca7
Pfkp,,,Skp2
Ank,,,Igf2bp3
Aldh1l2,,,Nrarp
Gbe1,,,Cenpa
Slc7a5,,,Pclaf
Map6,,,Gmnn
Apobr,,,Cdk1
Zbtb16,,,Haspin
A2m,,,Fbxo5
Slc7a2,,,Cdkn2c
Slc41a1,,,Arhgap11a
Kif26b,,,Zfp618
Gpr146,,,Pabpc4l
Cfap157,,,Gen1
Fam167a,,,Ttk
Nipal3,,,Dhfr
Dbndd2,,,Birc5
Ampd3,,,Dach1
Tmie,,,Sema3a
Adora1,,,Flrt3
Appl2,,,Tyms
Snph,,,Shcbp1
Aqp4,,,Suv39h2
Gm2a,,,Sgo1
Apba1,,,Shmt1
Atp1b2,,,Smc2
Gfap,,,Rrm2
Als2cl,,,Ccne2
Nfasc,,,Ska1
Gfap,,,Meox2
Xpr1,,,Neil3
C3,,,Kif23
Adamtsl3,,,Ska3
Ltbp2,,,Mnd1
Hr,,,Adamts20
Col8a1,,,Ccna2
Cx3cl1,,,Arhgap28
Cpm,,,Top2a
Limch1,,,Tmem132c
Mgp,,,Atad5
Slc23a2,,,Pbk
Nedd9,,,Ska2
Lxn,,,Zwilch
Hipk1,,,Atad2
Hist1h1c,,,Atad2
Phkg1,,,Hist1h1b
1600014C10Rik,,,Pole
Adipor2,,,Adgrl2
Tmem132b,,,Iqgap3
Slc44a1,,,Eml4
Mfap3l,,,Tead2
Nebl,,,Cip2a
Fam107a,,,Ncapg2
Chchd10,,,Epb41
Slc38a2,,,Myh10
Ttc9,,,Grb10
Fndc1,,,Kpna2
Prnp,,,Cep192
Col4a3,,,Akap12
Cyb561,,,Nynrin
P4ha1,,,Igf2r
Spp1,,,Cd109
Higd1a,,,Vgll3
Tppp3,,,Col12a1
Spp1,,,Ets2
Nt5dc3,,,Sept11
Cav2,,,Akap12
Pttg1ip,,,Mcm5
Larp1b,,,Arhgap19
Cyb5r1,,,Eme1
Slc7a1,,,Mcm2
Ifrd1,,,Plk1
Gch1,,,Foxm1
Spp1,,,Mybl2
Trpc1,,,Mcm6
Lratd2,,,Lmnb1
Sucnr1,,,Rfc3
Rbfox1,,,Dlgap5
Hbegf,,,Ccne1
Rps14,,,Lrrc17
Asns,,,Ccnb1
Hsd17b1,,,Aurka
 Sept8,,,Traip
Adamts16,,,Ncaph
Gabrb1,,,Ckap2
Klf9,,,Spc25
Ccn5,,,Kera
Ifitm10,,,Sapcd2
Klhdc8a,,,Depdc1b
Prelp,,,Gins2
Mgll,,,Tyms
Dnaja4,,,Nsl1
Gm19935,,,BC055324
Pmp22,,,Kif20b
Rasl11a,,,Chaf1b
Cntf,,,Gm10184
Faah,,,Alx3
Ntrk3,,,Tubb5
Slc6a6,,,Sytl1
Gde1,,,Rad54b
Nceh1,,,Exo1
Gclc,,,Cdca2
Folh1,,,Fam83d
Coch,,,Dbf4
Stk17b,,,Spdl1
Aspg,,,Rbl1
Dmp1,,,Brip1
Mfsd6,,,Bub1
Oit3,,,Melk
Afap1l2,,,Hells
Per2,,,Mis18bp1
Clu,,,Cenpe
Cp,,,Esco2
Htr2a,,,Nusap1
Lbp,,,Gpsm2
Epn2,,,Parpbp
Fzd5,,,Adamts20
Sorl1,,,Mest
Kcnk1,,,Cbx2
Slc25a33,,,Orc1
Palld,,,Kif11
Cpeb1,,,Kif11
1700029J07Rik,,,Nuf2
Cetn4,,,Anln
Sox9,,,Knl1
Galc,,,Hmmr
Timp3,,,Epb41l3
Saraf,,,Cenpf
Igip,,,Mcm3
Gadd45a,,,Ticrr
Ifrd1,,,Ccnf
Ank,,,Fanca
Tmem107,,,Kif18b
Pura,,,Kif2c
Tnc,,,Trip13
Tcp11l2,,,Cdc45
Ppil6,,,Bub1b
Mia,,,Kntc1
Hist1h2bc,,,Tacc3
Clip4,,,Incenp
Ezr,,,Kif15
Atf5,,,Clspn
Hivep3,,,Fbln1
Cystm1,,,Ncapg
Prss23,,,Clca3a1
Atp1b1,,,Hgf
Ndrg4,,,Tbx2
Htra1,,,Blm
Mpc1,,,Jpt2
Bmp6,,,Cdca5
Zbtb20,,,Ackr4
Col4a4,,,Hspa12b
Epas1,,,Fam111a
Ankrd29,,,Sgo2a
Epdr1,,,Tpm1
Retreg1,,,Ndc80
Gm31520,,,Aspm
Tmem9b,,,Hjurp
,,,Topbp1
,,,Mki67
,,,Mdc1
,,,Rrm1
,,,Hjurp
,,,Ahcy
,,,Brca1
,,,Prr11
,,,Top2a
,,,Mastl
,,,Tpm1
,,,Igf2bp1
,,,Spag5
,,,Haus6
,,,Asb4
,,,Ttc3
,,,Spc24
,,,Cenph
,,,Top2a
,,,H2afv
,,,Selenoh
,,,Cdca3
,,,Cks1b
,,,Mad2l1
,,,Cand2
,,,Pole2
,,,Cdca8
,,,Rad51ap1
,,,Chek1
,,,Epb41l3
,,,Selenoh
,,,Tpx2
,,,Hmgb2
,,,Ccnb2
,,,Gins1
,,,Tmpo
,,,Depdc1a
,,,Cox4i1
,,,H2afz
,,,Trip13
,,,Rfc4
,,,Oip5
,,,Ncapg2
,,,Cenpa
,,,Cthrc1
,,,Cthrc1
,,,2700099C18Rik
,,,Rad54l
,,,Trim59
,,,Cks2
,,,Cenpw
,,,Cdkn3
,,,Cdkn3
,,,Cenpk
